"","Group.1","x"
"381","E09000012, E09000032",431.5494
"382","E09000012, E09000033",330.3838
"383","E09000013, E09000001",23.369
"384","E09000013, E09000002",52.7098
"385","E09000013, E09000003",278.4164
"386","E09000013, E09000004",34.972
"387","E09000013, E09000005",727.4891
"388","E09000013, E09000006",143.5828
"389","E09000013, E09000007",474.1436
"390","E09000013, E09000008",191.1794
"391","E09000013, E09000009",2057.8002
"392","E09000013, E09000010",95.5587
"393","E09000013, E09000011",219.026
"394","E09000013, E09000012",395.2291
"395","E09000013, E09000014",288.6242
"396","E09000013, E09000015",164.7928
"397","E09000013, E09000016",46.1262
"398","E09000013, E09000017",312.986
"399","E09000013, E09000018",887.1391
"400","E09000013, E09000019",467.4562
"401","E09000013, E09000020",1255.9008
"402","E09000013, E09000021",266.5266
"403","E09000013, E09000022",876.5551
"404","E09000013, E09000023",257.7827
"405","E09000013, E09000024",517.5538
"406","E09000013, E09000025",255.965
"407","E09000013, E09000026",76.3974
"408","E09000013, E09000027",722.9774
"409","E09000013, E09000028",552.5823
"410","E09000013, E09000029",136.1016
"411","E09000013, E09000030",548.8792
"412","E09000013, E09000031",174.0087
"413","E09000013, E09000032",2417.5307
"414","E09000013, E09000033",838.4576
"415","E09000014, E09000001",16.7607
"416","E09000014, E09000002",252.7082
"417","E09000014, E09000003",2058.2482
"418","E09000014, E09000004",122.8977
"419","E09000014, E09000005",539.5456
"420","E09000014, E09000006",176.4511
"421","E09000014, E09000007",742.971
"422","E09000014, E09000008",272.3948
"423","E09000014, E09000009",384.6366
"424","E09000014, E09000010",4366.522
"425","E09000014, E09000011",301.1448
"426","E09000014, E09000012",1498.9953
"427","E09000014, E09000013",242.4604
"428","E09000014, E09000015",176.5588
"429","E09000014, E09000016",175.453
"430","E09000014, E09000017",154.8585
"431","E09000014, E09000018",166.6266
"432","E09000014, E09000019",1460.3519
"433","E09000014, E09000020",138.3132
"434","E09000014, E09000021",127.7795
"435","E09000014, E09000022",623.9803
"436","E09000014, E09000023",437.7107
"437","E09000014, E09000024",168.7763
"438","E09000014, E09000025",580.138
"439","E09000014, E09000026",353.1379
"440","E09000014, E09000027",123.2724
"441","E09000014, E09000028",635.2365
"442","E09000014, E09000029",57.3147
"443","E09000014, E09000030",690.2103
"444","E09000014, E09000031",1336.0587
"445","E09000014, E09000032",437.0199
"446","E09000014, E09000033",269.0609
"447","E09000015, E09000001",11.1463
"448","E09000015, E09000002",71.7398
"449","E09000015, E09000003",1282.6805
"450","E09000015, E09000004",44.4231
"451","E09000015, E09000005",2194.0154
"452","E09000015, E09000006",74.2735
"453","E09000015, E09000007",252.2414
"454","E09000015, E09000008",106.1463
"455","E09000015, E09000009",924.679
"456","E09000015, E09000010",120.0224
"457","E09000015, E09000011",94.1825
"458","E09000015, E09000012",87.7397
"459","E09000015, E09000013",110.4666
"460","E09000015, E09000014",142.038
"461","E09000015, E09000016",40.5503
"462","E09000015, E09000017",1759.3776
"463","E09000015, E09000018",199.7738
"464","E09000015, E09000019",97.1155
"465","E09000015, E09000020",69.834
"466","E09000015, E09000021",88.8539
"467","E09000015, E09000022",103.3888
"468","E09000015, E09000023",99.838
"469","E09000015, E09000024",86.6336
"470","E09000015, E09000025",123.7881
"471","E09000015, E09000026",94.3177
"472","E09000015, E09000027",95.7847
"473","E09000015, E09000028",123.5835
