"data","stato","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","totale_casi"
"2020-03-25T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,106
"2020-03-25T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,8
"2020-03-26T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,122
"2020-03-26T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,41
"2020-03-26T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,1567
"2020-03-26T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,206
"2020-03-26T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,156
"2020-03-26T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,4
"2020-03-27T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,124
"2020-03-27T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,43
"2020-03-27T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,1703
"2020-03-27T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,212
"2020-03-27T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,191
"2020-03-27T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,22
"2020-03-28T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,144
"2020-03-28T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,62
"2020-03-28T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,1839
"2020-03-28T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,215
"2020-03-28T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,232
"2020-03-28T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,13
"2020-03-29T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,179
"2020-03-29T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,76
"2020-03-29T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,1945
"2020-03-29T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,239
"2020-03-29T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,252
"2020-03-29T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,15
"2020-03-30T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,181
"2020-03-30T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,105
"2020-03-30T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,2068
"2020-03-30T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,254
"2020-03-30T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,290
"2020-03-30T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,16
"2020-03-31T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,181
"2020-03-31T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,132
"2020-03-31T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,2186
"2020-03-31T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,257
"2020-03-31T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,321
"2020-03-31T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,18
"2020-04-01T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,193
"2020-04-01T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,193
"2020-04-01T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,2260
"2020-04-01T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,272
"2020-04-01T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,329
"2020-04-01T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,17
"2020-04-02T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,219
"2020-04-02T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,188
"2020-04-02T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,2393
"2020-04-02T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,280
"2020-04-02T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,334
