area_code,year,quarter,mean_rent_per_month,median_rent_per_month,area_code_21
E02000637,2016,4,1607.909091,1560.0,E02000637
E02000638,2016,4,1855.153846,1760.0,E02000638
E02000639,2016,4,1472.355556,1350.0,E02000639
E02000640,2016,4,2001.109091,1950.0,E02000640
E02000641,2016,4,1677.090909,1287.5,E02000641
E02000642,2016,4,1641.066667,1519.0,E02000642
E02000643,2016,4,1695.627451,1647.0,E02000643
E02000644,2016,4,1691.578947,1346.5,E02000644
E02000645,2016,4,1444.0,1350.0,E02000645
E02000646,2016,4,1464.306452,1395.0,E02000646
E02000647,2016,4,1355.47619,1325.0,E02000647
E02000649,2016,4,1437.883721,1350.0,E02000649
E02000650,2016,4,1220.55,1343.0,E02000650
E02000651,2016,4,1124.212766,1159.0,E02000651
E02000652,2016,4,1497.1875,1746.0,E02000652
E02000653,2016,4,1239.75,1200.0,E02000653
E02000655,2016,4,1305.258065,1182.5,E02000655
E02000657,2016,4,1490.365854,1450.0,E02000657
E02000658,2016,4,1172.470588,1151.0,E02000658
E02000659,2016,4,1320.9,1350.0,E02000659
E02000660,2016,4,1361.173913,1325.0,E02000660
E02000661,2016,4,1405.0,1450.0,E02000661
E02000662,2016,4,1287.238095,1297.5,E02000662
E02000663,2016,4,1271.666667,1250.0,E02000663
E02000664,2016,4,1386.435484,1450.0,E02007008
E02000665,2016,4,1407.863636,1452.0,E02000665
E02000666,2016,4,1560.0,1351.0,E02000666
E02000668,2016,4,1382.631579,1325.0,E02000668
E02000669,2016,4,1335.833333,1350.0,E02000669
E02000670,2016,4,985.3571429,1045.0,E02000670
E02000671,2016,4,1353.714286,1250.0,E02000671
E02000672,2016,4,974.047619,1025.0,E02000672
